@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
126.000000,124.000000,151.000000,143.000000,131.000000,156.000000,132.998000,128.828000,154.176000,133.000000,129.000000,154.000000,10.901996,2.286416,0.821024,class0
126.000000,126.000000,153.000000,135.000000,131.000000,156.000000,131.400000,127.962000,154.382000,132.000000,128.000000,154.000000,3.344000,1.020556,0.444076,class0
126.000000,126.000000,153.000000,133.000000,129.000000,156.000000,129.968000,127.814000,154.446000,130.000000,128.000000,155.000000,1.186976,0.511404,0.399084,class0
128.000000,124.000000,152.000000,141.000000,133.000000,157.000000,131.896000,128.044000,154.202000,131.000000,128.000000,154.000000,9.425184,2.518064,0.833196,class0
129.000000,124.000000,148.000000,149.000000,133.000000,157.000000,136.212000,128.574000,153.262000,136.000000,129.000000,153.000000,17.995056,4.212524,2.089356,class0
134.000000,126.000000,146.000000,150.000000,133.000000,155.000000,141.662000,129.652000,151.062000,142.000000,130.000000,152.000000,25.151756,3.038896,5.150156,class0
134.000000,125.000000,144.000000,152.000000,133.000000,155.000000,145.772000,129.814000,148.842000,147.000000,130.000000,149.000000,12.512016,2.659404,4.017036,class0
130.000000,125.000000,125.000000,156.000000,178.000000,152.000000,145.390000,137.134000,143.504000,147.000000,132.000000,146.000000,29.821900,160.436044,58.729984,class0
126.000000,128.000000,121.000000,156.000000,178.000000,150.000000,138.070000,152.736000,132.620000,135.000000,157.000000,129.000000,63.509100,166.154304,80.379600,class0
126.000000,151.000000,121.000000,137.000000,171.000000,132.000000,132.164000,160.536000,126.534000,132.000000,160.000000,127.000000,5.913104,26.836704,7.044844,class0
128.000000,150.000000,123.000000,147.000000,171.000000,134.000000,135.872000,159.328000,127.936000,134.000000,158.000000,128.000000,27.855616,31.152416,8.015904,class0
131.000000,146.000000,122.000000,149.000000,171.000000,134.000000,140.510000,157.564000,127.962000,141.000000,157.000000,128.000000,21.901900,24.821904,9.496556,class0
64.000000,119.000000,62.000000,239.000000,201.000000,145.000000,148.202000,150.518000,123.690000,145.000000,156.000000,126.000000,604.173196,280.101676,134.049900,class0
64.000000,119.000000,62.000000,239.000000,201.000000,145.000000,157.856000,136.054000,120.914000,161.000000,129.000000,121.000000,558.091264,287.615084,120.886604,class0
149.000000,125.000000,120.000000,170.000000,137.000000,144.000000,159.602000,129.176000,125.908000,161.000000,129.000000,122.000000,14.051596,7.337024,49.271536,class0
143.000000,126.000000,120.000000,170.000000,149.000000,149.000000,155.490000,133.076000,135.100000,156.500000,130.000000,137.000000,46.537900,39.622224,70.890000,class0
33.000000,126.000000,7.000000,244.000000,232.000000,156.000000,146.766000,148.624000,132.354000,147.500000,143.000000,137.000000,740.711244,421.278624,475.808684,class0
33.000000,137.000000,7.000000,244.000000,232.000000,156.000000,146.320000,151.748000,132.442000,151.000000,143.500000,139.000000,712.041600,328.392496,455.366636,class0
126.000000,127.000000,134.000000,180.000000,152.000000,155.000000,146.768000,141.846000,142.508000,150.000000,142.000000,141.000000,116.862176,13.470284,27.809936,class1
126.000000,127.000000,125.000000,180.000000,166.000000,155.000000,141.396000,146.138000,140.972000,143.000000,143.000000,142.000000,116.127184,81.702956,70.867216,class1
129.000000,135.000000,124.000000,152.000000,172.000000,154.000000,136.822000,155.432000,132.962000,134.000000,157.000000,131.000000,42.570316,83.465376,51.028556,class1
