@RELATION capsense
@ATTRIBUTE min_accel_1 NUMERIC
@ATTRIBUTE min_accel_2 NUMERIC
@ATTRIBUTE min_accel_3 NUMERIC
@ATTRIBUTE max_accel_1 NUMERIC
@ATTRIBUTE max_accel_2 NUMERIC
@ATTRIBUTE max_accel_3 NUMERIC
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE median_accel_1 NUMERIC
@ATTRIBUTE median_accel_2 NUMERIC
@ATTRIBUTE median_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
134.000000,112.000000,96.000000,152.000000,121.000000,103.000000,143.830000,115.956000,98.860000,144.500000,116.000000,98.000000,32.245100,9.014064,4.880400,class3
134.000000,112.000000,96.000000,146.000000,116.000000,99.000000,139.372000,113.530000,97.000000,139.000000,113.000000,97.000000,6.745616,0.653100,0.608000,class3
136.000000,113.000000,96.000000,144.000000,115.000000,99.000000,141.286000,114.202000,97.466000,142.000000,114.000000,98.000000,5.264204,0.485196,0.700844,class3
141.000000,114.000000,97.000000,144.000000,115.000000,99.000000,142.090000,114.724000,97.512000,142.000000,115.000000,97.000000,0.649900,0.199824,0.313856,class3
140.000000,114.000000,97.000000,142.000000,115.000000,98.000000,141.302000,114.654000,97.082000,141.000000,115.000000,97.000000,0.462796,0.226284,0.075276,class3
139.000000,113.000000,96.000000,142.000000,115.000000,98.000000,140.690000,114.224000,96.990000,141.000000,114.000000,97.000000,0.705900,0.245824,0.085900,class3
139.000000,113.000000,96.000000,141.000000,114.000000,98.000000,140.018000,113.848000,96.942000,140.000000,114.000000,97.000000,0.465676,0.128896,0.094636,class3
139.000000,113.000000,96.000000,143.000000,114.000000,99.000000,140.854000,113.820000,97.368000,140.000000,114.000000,97.000000,1.640684,0.147600,0.504576,class3
139.000000,113.000000,96.000000,146.000000,115.000000,100.000000,143.382000,114.292000,98.436000,143.000000,114.000000,99.000000,2.364076,0.334736,0.749904,class3
143.000000,114.000000,98.000000,147.000000,116.000000,100.000000,145.376000,114.824000,99.444000,145.000000,115.000000,99.000000,0.626624,0.149024,0.258864,class3
145.000000,114.000000,99.000000,147.000000,116.000000,101.000000,146.418000,115.018000,99.954000,146.000000,115.000000,100.000000,0.383276,0.085676,0.183884,class3
146.000000,113.000000,99.000000,151.000000,116.000000,105.000000,147.228000,115.116000,100.468000,147.000000,115.000000,100.000000,0.700016,0.346544,0.504976,class3
97.000000,136.000000,106.000000,124.000000,193.000000,121.000000,109.576000,160.572000,112.952000,108.000000,158.000000,112.000000,39.204224,219.860816,13.145696,class4
95.000000,108.000000,93.000000,125.000000,191.000000,121.000000,109.312000,150.472000,110.778000,108.000000,153.000000,111.000000,46.086656,319.773216,38.372716,class4
95.000000,103.000000,93.000000,125.000000,173.000000,121.000000,107.436000,129.942000,105.400000,107.000000,127.000000,105.000000,42.069904,331.178636,38.488000,class4
82.000000,99.000000,88.000000,126.000000,138.000000,119.000000,106.580000,120.518000,101.400000,106.500000,121.000000,102.000000,90.187600,90.033676,43.620000,class4
82.000000,99.000000,88.000000,126.000000,138.000000,119.000000,105.936000,119.780000,101.188000,105.000000,121.000000,100.000000,117.651904,82.119600,60.152656,class4
89.000000,99.000000,91.000000,123.000000,129.000000,118.000000,107.038000,114.154000,103.210000,107.000000,115.500000,103.000000,63.752556,66.762284,29.029900,class4
95.000000,101.000000,96.000000,121.000000,127.000000,113.000000,107.424000,113.646000,104.590000,107.000000,114.000000,105.000000,36.384224,64.824684,11.957900,class4
88.000000,103.000000,96.000000,117.000000,163.000000,125.000000,104.182000,128.186000,106.314000,103.500000,125.000000,106.000000,44.196876,235.135404,28.175404,class4
88.000000,117.000000,97.000000,114.000000,163.000000,144.000000,98.048000,133.846000,115.448000,96.000000,132.000000,119.000000,37.937696,105.754284,90.127296,class4
88.000000,108.000000,117.000000,105.000000,136.000000,144.000000,95.376000,126.208000,122.714000,95.000000,128.000000,122.000000,12.450624,43.520736,13.368204,class4
91.000000,108.000000,88.000000,126.000000,157.000000,125.000000,101.112000,130.236000,112.602000,100.000000,130.000000,119.000000,59.507456,88.560304,142.763596,class4
88.000000,118.000000,88.000000,126.000000,157.000000,126.000000,102.812000,132.082000,106.496000,103.000000,132.000000,104.500000,69.820656,49.163276,106.945984,class4
88.000000,116.000000,88.000000,118.000000,137.000000,126.000000,100.708000,127.222000,109.186000,100.000000,128.000000,112.000000,58.982736,32.132716,80.151404,class4
