@RELATION capsense
@ATTRIBUTE mean_accel_1 NUMERIC
@ATTRIBUTE mean_accel_2 NUMERIC
@ATTRIBUTE mean_accel_3 NUMERIC
@ATTRIBUTE var_accel_1 NUMERIC
@ATTRIBUTE var_accel_2 NUMERIC
@ATTRIBUTE var_accel_3 NUMERIC
@ATTRIBUTE mean_cap NUMERIC
@ATTRIBUTE var_cap NUMERIC
@ATTRIBUTE class {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9}

@DATA
135.195035,96.656028,131.436170,57.995138,100.098784,128.918954,2790.211584,88136.891031,class0
133.277778,96.684783,130.894928,48.483923,77.624278,80.755763,3044.051932,10067.368729,class0
135.702381,97.968254,132.503968,6.018492,0.527316,1.525642,3076.010582,612.469320,class0
136.913420,98.054834,132.010101,3.019696,0.268234,0.305127,3103.962482,1725.355949,class0
136.436834,98.033486,132.436834,1.184612,0.182334,0.563213,3148.342466,686.697446,class0
136.982540,98.338095,132.926984,0.106866,0.059916,0.208583,3177.655556,1310.843854,class0
137.356631,98.528674,133.207885,0.302423,0.060994,0.172631,3164.025090,2274.771673,class0
137.942761,98.767677,133.356902,0.052894,0.011672,0.136948,3057.782828,3738.813459,class0
138.373874,98.819820,133.154655,0.567081,0.125386,0.157895,3028.815315,1455.727136,class0
140.190016,99.363929,132.830918,3.532717,0.514482,0.212639,3083.859903,2664.831028,class0
140.978632,99.603989,133.105413,2.891152,0.924031,0.670482,3148.754986,2784.467006,class0
139.814815,99.732639,134.228009,12.705047,24.577668,14.691194,3239.914352,14031.871729,class0
139.270175,100.286550,134.194152,14.426491,25.983866,22.712889,3147.842105,38653.449062,class0
141.716049,101.595062,133.541975,20.794593,8.546070,10.137003,3061.776543,22163.365930,class0
144.857488,102.787440,133.867150,14.169129,8.521137,3.716793,3208.661836,22664.462600,class0
145.922342,105.630824,138.535245,21.039126,43.267086,39.875187,3303.777778,10603.613795,class0
147.127485,117.797661,144.135673,42.982918,142.070391,137.503593,3321.968421,1020.189825,class0
149.983963,132.978236,126.263459,41.483794,50.800319,501.515000,3290.514318,97.079558,class0
144.468085,140.365248,101.245863,82.394497,9.460141,57.268518,3300.163121,271.913634,class0
137.831541,144.188769,98.136201,22.946219,14.359846,21.836589,3310.283154,114.756714,class0
142.184028,141.956019,124.552083,51.918344,30.482776,594.741638,3301.179398,267.483917,class0
142.251157,139.430556,149.054398,37.861792,10.435932,56.624040,3297.219907,241.593497,class0
138.649306,139.712963,151.461806,7.514055,10.667880,4.487675,3288.940972,499.212204,class0
138.173382,138.937729,152.028083,6.915284,9.670016,4.509079,3207.297924,6870.571160,class0
138.079545,137.881313,153.380051,1.651468,6.376840,2.380508,3171.498737,4540.298849,class0
137.426901,135.559942,153.795322,2.552775,3.875701,2.003639,3239.745614,3484.355824,class0
136.161793,133.729045,152.925926,3.603206,1.591718,0.631099,3269.760234,294.651583,class0
137.657986,133.458333,154.060764,8.466120,2.025671,2.253549,3145.251736,21741.496862,class0
140.173913,133.887279,153.909823,3.494727,1.340411,2.111574,2951.135266,28182.924789,class0
140.811321,133.920335,152.737945,0.213953,0.078527,0.039931,2798.559748,354.781559,class0
140.276276,133.813814,152.756757,0.027861,0.042561,0.011549,2777.255255,41.068494,class0
139.942593,133.705556,152.985185,0.304454,0.099948,0.062133,2779.694444,156.440521,class0
140.236271,134.753512,152.560664,0.894575,2.998687,0.838331,2832.584930,2287.014487,class0
140.743961,135.178744,152.212560,1.284151,2.252871,0.847280,2892.547101,1618.870773,class0
141.245752,134.932026,152.108497,1.097617,0.389504,0.400052,2924.862745,2982.497251,class0
141.489712,135.895748,151.780521,0.539746,0.777267,0.153387,2936.698217,4798.186801,class0
140.836257,136.704678,151.657895,1.111925,0.592116,0.104943,2939.299708,4047.106509,class0
139.289562,135.973064,152.301347,2.059973,1.482644,0.597822,2940.976431,2397.401905,class0
138.786667,134.631111,153.004444,1.815490,0.260237,0.259491,2984.144444,5789.481104,class0
141.693237,134.154589,152.103865,5.022324,0.010139,0.896243,3103.787440,2261.445721,class0
146.788260,133.224319,149.849057,13.020068,2.042018,4.094537,3198.322851,3899.297371,class0
149.698925,131.494624,147.492832,3.734219,1.987321,3.374872,3250.408602,120.495760,class0
148.166667,128.822531,148.566358,7.386541,7.848256,9.478407,3276.054012,930.671185,class0
146.197368,127.900585,148.510234,141.612707,6.875582,19.556931,3318.652047,638.669742,class0
149.560784,128.752941,143.873203,231.453823,25.841087,27.533261,3338.066667,5.673192,class0
150.119342,120.674897,142.592593,124.385117,119.309191,12.732716,3338.794239,1.375343,class0
145.143411,129.395349,147.422481,26.951305,490.808019,24.263128,3338.465116,2.182284,class0
